Name,Platform,Date (relative),Product_ID,Image,Subscription,Entitlement,Active,Downloadable,Pre-Order,Title_ID
Grand Theft Auto: Vice City – The Definitive Edition,PS4,61,UP1004-PPSA05804_00-GTATRILOGYBUNDLE,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA26615_00/7/i_4d56f4097d1155bf20c2941293f28ad1469c87916dcd12fce49739acf891369e/i/icon0.png,NONE,UP1004-CUSA26615_00-GTAVICECITY00001,true,true,,CUSA26615_00
Grand Theft Auto III – The Definitive Edition,PS4,60,UP1004-PPSA05804_00-GTATRILOGYBUNDLE,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA23501_00/8/i_ca69d2dda08b737fcf972f97243bcaff2927482db2aec27ed5c0d754a79fd1e6/i/icon0.png,NONE,UP1004-CUSA23501_00-GTATHREE00000001,true,true,,CUSA23501_00
Grand Theft Auto: Vice City – The Definitive Edition,PS5,59,UP1004-PPSA05804_00-GTATRILOGYBUNDLE,https://image.api.playstation.com/sgst/prod/00/PPSA03530_00/app/info/7/fi_ee75209f8cf5891a5b85a0bbd1a4a8e13104fae188d368ed2451f7db7f73e85e/icon0.png,NONE,UP1004-PPSA03530_00-GTAVICECITY00001,true,true,,PPSA03530_00
Grand Theft Auto: San Andreas – The Definitive Edition,PS4,58,UP1004-PPSA05804_00-GTATRILOGYBUNDLE,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA26618_00/9/i_6ddd21f2e6e2ca7b11d6b9ef4ebffc7f0ffbd0feb540c35c14136ccdd2dc5808/i/icon0.png,NONE,UP1004-CUSA26618_00-GTASANANDREAS001,true,true,,CUSA26618_00
Grand Theft Auto: San Andreas – The Definitive Edition,PS5,57,UP1004-PPSA05804_00-GTATRILOGYBUNDLE,https://image.api.playstation.com/sgst/prod/00/PPSA03524_00/app/info/9/fi_25c01be26ae2dc58ab1e940e07a57074306503f936a00e9b874bd1ec8f85032f/icon0.png,NONE,UP1004-PPSA03524_00-GTASANANDREAS001,true,true,,PPSA03524_00
The Lord of the Rings: Gollum™ - Original Soundtrack,PS5,56,UP6665-PPSA06367_00-LRG00PREORDER001,https://image.api.playstation.com/sgst/prod/00/PPSA08419_00/app/info/2/fi_fea14598b62018326f0dc106318f5be2ae68c55aa3f9bfe8ba8f0ef16a063296/icon0.png,NONE,UP6665-PPSA08419_00-LRG00SOUNDTRACK0,true,true,,PPSA08419_00
The Lord of the Rings: Gollum™ - Original Soundtrack,PS4,55,UP6665-PPSA06367_00-LRG00PREORDER001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA34480_00/1/i_0cbd49ab947fa1fbdb7f65048f578a3bf2f5b1e343ddeafbeb11c2b5f63692a2/i/icon0.png,NONE,UP6665-CUSA34480_00-LRG00SOUNDTRACK0,true,true,,CUSA34480_00
The Lord of the Rings: Gollum™,PS5,54,UP6665-PPSA06367_00-LRG00PREORDER001,https://image.api.playstation.com/sgst/prod/00/PPSA06367_00/app/info/36/fi_778038141af50376d3bc14f1c1fa69972d6786070597c04210b9888f8bd20433/icon0.png,NONE,UP6665-PPSA06367_00-LRG0000000000000,true,true,,PPSA06367_00
The Lord of the Rings: Gollum™ - Art Exhibition,PS4,53,UP6665-PPSA06367_00-LRG00PREORDER001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA34478_00/1/i_c8fd3baef8d28efdb1c397bd8c9482f4f57710b3cc433e57cc17752b57a0657f/i/icon0.png,NONE,UP6665-CUSA34478_00-LRG00ARTBOOK0000,true,true,,CUSA34478_00
The Lord of the Rings: Gollum™,PS4,52,UP6665-PPSA06367_00-LRG00PREORDER001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA33616_00/3/i_fadd1aefc997ac25920b8c77a006fbd2166f5b3bd0127fc7c9ff219ffb13b819/i/icon0.png,NONE,UP6665-CUSA33616_00-LRG0000000000000,true,true,,CUSA33616_00
The Lord of the Rings: Gollum™ - Art Exhibition,PS5,51,UP6665-PPSA06367_00-LRG00PREORDER001,https://image.api.playstation.com/sgst/prod/00/PPSA08417_00/app/info/1/fi_d5b67f7dc6bd926f3d0c52b7b77375826e9dd2115bb12873612db9a631b22316/icon0.png,NONE,UP6665-PPSA08417_00-LRG00ARTBOOK0000,true,true,,PPSA08417_00
Hogwarts Legacy,PS4,50,UP1018-PPSA01593_00-HOGWARTSLGCYDELX,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA12824_00/5/i_616d68d893a888ffa7df0d46813199eacff2bda3bff3a6c6421db25e4e0fb34a/i/icon0.png,NONE,UP1018-CUSA12824_00-HOGWARTSLEGACY01,true,true,,CUSA12824_00
VALKYRIE PROFILE: LENNETH,PS4,49,UP0082-PPSA06526_00-VPRPS5NA00000001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA32246_00/3/i_d5aaf0ef5fc0b439dceafcf9ef315f53d916ca32c447ec53dbe6ce6de38655f8/i/icon0.png,NONE,UP0082-CUSA32246_00-VPRPS4NA00000001,true,true,,CUSA32246_00
VALKYRIE PROFILE: LENNETH,PS5,48,UP0082-PPSA06526_00-VPRPS5NA00000001,https://image.api.playstation.com/sgst/prod/00/PPSA06526_00/app/info/3/fi_8a0de9abb9ef571d32749f1744ed579c386860071ab79b3ad14378ff9bc54444/icon0.png,NONE,UP0082-PPSA06526_00-VPRPS5NA00000001,true,true,,PPSA06526_00
Hogwarts Legacy,PS5,47,UP1018-PPSA01593_00-HOGWARTSLGCYDELX,https://image.api.playstation.com/sgst/prod/00/PPSA01593_00/app/info/115/fi_35af1b61db83c38f4326e8f9c5ee478dc122fff55919184af323dfd16a01c6f5/icon0.png,NONE,UP1018-PPSA01593_00-HOGWARTSLEGACY01,true,true,,PPSA01593_00
The Callisto Protocol™,PS5,46,UP5082-PPSA03351_00-5083427288229632,https://image.api.playstation.com/sgst/prod/00/PPSA03351_00/app/info/85/fi_c35a5772965f93c883dcc17ec7b87fd4147345752bfe05aa1510ba3e0659306d/icon0.png,NONE,UP5082-PPSA03351_00-5673272224775858,true,true,,PPSA03351_00
The Callisto Protocol™,PS4,45,UP5082-PPSA03351_00-5083427288229632,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA27372_00/16/i_dcaeba4863524ed447e20ce1592d766acb20e6a9efb1e53cabd4a021aa0b5b5f/i/icon0.png,NONE,UP5082-CUSA27372_00-4596305568280539,true,true,,CUSA27372_00
Gotham Knights,PS5,44,UP1018-PPSA02223_00-GOTHAMKNIGHTSDLX,https://image.api.playstation.com/sgst/prod/00/PPSA02223_00/app/info/49/fi_7d8f2a16b7f268c962ccee7bafdbcab6ddb53e86b8ff7b1d0450c325bdfd8334/icon0.png,NONE,UP1018-PPSA02223_00-GOTHAMKNIGHTS000,true,true,,PPSA02223_00
Horizon Forbidden West,PS5,43,UP9000-PPSA04072_00-FORBIDDENWESTPS5,https://image.api.playstation.com/sgst/prod/00/PPSA04072_00/app/info/43/fi_72ffc1eea92471cd2c6e9fb117e3549b2aaef082699dce09389cad439fc28974/icon0.png,NONE,UP9000-PPSA04072_00-FORBIDDENWESTPS5,true,true,,PPSA04072_00
Horizon Forbidden West,PS4,42,UP9000-PPSA04072_00-FORBIDDENWESTPS5,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA28561_00/1/i_cea9814bbe61847c0d8075bfcd4c9c49ca1181a3c01d53d2dc8748198b9c6500/i/icon0.png,NONE,UP9000-CUSA28561_00-FORBIDDENWESTPS4,true,true,,CUSA28561_00
Returnal Original Soundtrack,PS5,41,UP9000-PPSA01284_00-RETURNALDDE00001,https://image.api.playstation.com/sgst/prod/00/PPSA02479_00/app/info/4/f_6d23d82961f9e1af66eaea1dad170aba4859423f292e07b2bc273e61660a88a7/icon0.png,NONE,UP9000-PPSA02479_00-RETURNALOST00001,true,true,,PPSA02479_00
Returnal,PS5,40,UP9000-PPSA01284_00-RETURNALDDE00001,https://image.api.playstation.com/sgst/prod/00/PPSA01284_00/app/info/39/fi_c4cd58ff3fe0c5cbd4ba50a953c6dcd8edbe3cd3f280282aed46cc54cc83068e/icon0.png,NONE,UP9000-PPSA01284_00-RETURNAL00000000,true,true,,PPSA01284_00
VALKYRIE ELYSIUM,PS4,39,UP0082-PPSA07274_00-VEPS5DDXUP000001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA33212_00/2/i_45407057e366b37c88440b7cfbae2576bc1da29d1ded358dbbeafc9e073635f5/i/icon0.png,NONE,UP0082-CUSA33212_00-VEPS4UP000000001,true,true,,CUSA33212_00
VALKYRIE ELYSIUM,PS5,38,UP0082-PPSA07274_00-VEPS5DDXUP000001,https://image.api.playstation.com/sgst/prod/00/PPSA07274_00/app/info/16/fi_2652cb3f3990c35b9481864617cfc161cc849044584ecb6e07b0148aa2345b97/icon0.png,NONE,UP0082-PPSA07274_00-VEPS5UP000000001,true,true,,PPSA07274_00
God of War Ragnarök,PS4,37,UP9000-PPSA08329_00-GOWRAGNAROKDELUX,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA34384_00/60/i_2e2d83e0dc8b2466854818eb116172630dc3f61c8becb2bce0df41579c781059/i/icon0.png,NONE,UP9000-CUSA34384_00-GOWRAGNAROK00000,true,true,,CUSA34384_00
God of War Ragnarök,PS5,36,UP9000-PPSA08329_00-GOWRAGNAROKDELUX,https://image.api.playstation.com/sgst/prod/00/PPSA08329_00/app/info/119/fi_26fced8badfc56f5a5d478c59f412fcfd7d0e415e78703e58e5b110d60ba835a/icon0.png,NONE,UP9000-PPSA08329_00-GOWRAGNAROK00000,true,true,,PPSA08329_00
God of War Ragnarök Digital Artbook and Soundtrack,PS4,35,UP9000-PPSA08329_00-GOWRAGNAROKDELUX,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA34357_00/2/i_420baeb79a9e98b26e9e4f80b45b426447edc03249518daa1d5ad675f40a9a93/i/icon0.png,NONE,UP9000-CUSA34357_00-GOWRAGNAROKCAVE0,true,true,,CUSA34357_00
Jak 3,PS4,34,UP9000-CUSA07841_00-SCUS973300000001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA07841_00/1/i_6920edefa8d8e1bd75a525f694acc15ffdad9dcc8af123ea2b454497f265ce15/i/icon0.png,NONE,UP9000-CUSA07841_00-SCUS973300000001,true,true,,CUSA07841_00
Jak II,PS4,33,UP9000-CUSA07840_00-SCUS972650000001,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA07840_00/1/i_21dd921b6929727aef65a6bd83fb1acbea594d15b98497a5d2c0ac72194656a8/i/icon0.png,NONE,UP9000-CUSA07840_00-SCUS972650000001,true,true,,CUSA07840_00
